Date,Hour,Cars,Two,HCVs
14-01-2024,0,2,0,0
14-01-2024,0,42,53,4
14-01-2024,0,8,22,7
14-01-2024,0,39,51,1
14-01-2024,0,37,66,4
14-01-2024,0,3,0,0
14-01-2024,1,43,20,0
14-01-2024,1,40,74,1
14-01-2024,1,1,3,2
14-01-2024,1,48,53,5
14-01-2024,1,40,32,0
14-01-2024,1,6,2,0
14-01-2024,2,3,3,1
14-01-2024,2,53,72,2
14-01-2024,2,36,69,3
14-01-2024,2,1,0,0
14-01-2024,2,36,25,5
14-01-2024,2,34,12,0
14-01-2024,3,41,48,0
14-01-2024,3,36,89,5
14-01-2024,3,8,18,5
14-01-2024,3,24,33,12
14-01-2024,3,14,23,4
14-01-2024,3,10,8,0
14-01-2024,4,30,28,3
14-01-2024,4,6,1,0
14-01-2024,4,18,32,3
14-01-2024,4,68,125,2
14-01-2024,4,45,80,7
14-01-2024,4,30,62,0
14-01-2024,5,3,3,3
14-01-2024,5,37,42,0
14-01-2024,5,41,65,1
14-01-2024,5,1,2,0
14-01-2024,5,22,33,1
14-01-2024,5,0,0,0
14-01-2024,6,2,1,0
14-01-2024,6,56,71,0
14-01-2024,6,52,64,3
14-01-2024,6,39,52,1
14-01-2024,6,13,16,2
14-01-2024,6,56,87,3
14-01-2024,7,54,63,1
14-01-2024,7,2,12,1
14-01-2024,7,49,40,0
14-01-2024,7,0,1,0
14-01-2024,7,19,2,0
14-01-2024,7,3,2,0
14-01-2024,8,32,19,14
14-01-2024,8,39,94,1
14-01-2024,8,36,74,2
14-01-2024,8,3,5,1
14-01-2024,8,53,75,3
14-01-2024,8,44,20,0
14-01-2024,9,44,64,7
14-01-2024,9,45,71,1
14-01-2024,9,39,80,0
14-01-2024,9,64,49,0
14-01-2024,9,0,0,40
14-01-2024,9,24,13,0
14-01-2024,10,0,0,0
14-01-2024,10,2,1,0
14-01-2024,10,33,33,2
14-01-2024,10,29,5,0
14-01-2024,10,15,23,3
14-01-2024,10,43,63,2
14-01-2024,11,41,52,3
14-01-2024,11,48,60,7
14-01-2024,11,36,17,0
14-01-2024,11,4,11,3
14-01-2024,11,36,64,4
14-01-2024,11,28,13,0
14-01-2024,12,34,61,1
14-01-2024,12,39,29,13
14-01-2024,12,54,52,0
14-01-2024,12,48,55,4
14-01-2024,12,59,76,7
14-01-2024,12,25,59,1
14-01-2024,13,60,55,5
14-01-2024,13,54,47,1
14-01-2024,13,39,77,9
14-01-2024,13,47,64,4
14-01-2024,13,38,43,0
14-01-2024,13,2,1,1
14-01-2024,14,8,4,0
14-01-2024,14,38,12,0
14-01-2024,14,37,46,0
14-01-2024,14,43,69,0
14-01-2024,14,39,18,0
14-01-2024,14,39,92,0
14-01-2024,15,17,11,3
14-01-2024,15,6,2,2
14-01-2024,15,33,47,1
14-01-2024,15,37,63,4
14-01-2024,15,51,57,1
14-01-2024,15,2,1,0
14-01-2024,16,27,30,12
14-01-2024,16,29,74,1
14-01-2024,16,2,1,0
14-01-2024,16,10,1,0
14-01-2024,16,36,61,1
14-01-2024,16,105,113,8
14-01-2024,17,40,50,0
14-01-2024,17,2,0,0
14-01-2024,17,42,67,2
14-01-2024,17,36,82,2
14-01-2024,17,16,12,2
14-01-2024,17,5,5,2
14-01-2024,18,17,16,6
14-01-2024,18,7,1,0
14-01-2024,18,48,117,0
14-01-2024,18,37,18,0
14-01-2024,18,26,31,0
14-01-2024,18,90,132,2
14-01-2024,19,62,64,2
14-01-2024,19,55,47,1
14-01-2024,19,34,106,2
14-01-2024,19,36,48,5
14-01-2024,19,21,29,2
14-01-2024,19,7,17,0
14-01-2024,20,32,58,5
14-01-2024,20,2,0,1
14-01-2024,20,51,65,2
14-01-2024,20,30,52,0
14-01-2024,20,49,63,0
14-01-2024,20,49,65,2
14-01-2024,21,49,65,1
14-01-2024,21,26,14,0
14-01-2024,21,45,89,2
14-01-2024,21,41,46,4
14-01-2024,21,9,16,0
14-01-2024,21,37,83,4
14-01-2024,22,57,44,0
14-01-2024,22,62,76,0
14-01-2024,22,52,61,4
14-01-2024,22,12,4,0
14-01-2024,22,82,132,1
14-01-2024,22,50,49,0
14-01-2024,23,24,1,0
14-01-2024,23,54,7,0
14-01-2024,23,5,4,1
14-01-2024,23,68,100,0
14-01-2024,23,30,86,1
14-01-2024,23,36,54,2
15-01-2024,0,1,0,0
15-01-2024,0,34,56,4
15-01-2024,0,24,78,5
15-01-2024,0,42,48,2
15-01-2024,0,21,32,3
15-01-2024,0,95,105,11
15-01-2024,1,51,56,5
15-01-2024,1,26,81,3
15-01-2024,1,70,96,3
15-01-2024,1,3,6,0
15-01-2024,1,2,2,0
15-01-2024,1,33,58,6
15-01-2024,2,26,49,4
15-01-2024,2,23,10,7
15-01-2024,2,34,63,0
15-01-2024,2,52,66,3
15-01-2024,2,44,50,0
15-01-2024,3,30,84,4
15-01-2024,3,44,49,2
15-01-2024,3,15,7,2
15-01-2024,3,20,24,4
15-01-2024,3,52,110,4
15-01-2024,3,5,13,2
15-01-2024,4,51,66,8
15-01-2024,4,10,5,2
15-01-2024,4,5,4,1
15-01-2024,4,55,46,1
15-01-2024,4,45,44,7
15-01-2024,5,1,0,0
15-01-2024,5,40,60,1
15-01-2024,5,10,5,3
15-01-2024,5,49,16,0
15-01-2024,5,24,56,1
15-01-2024,5,5,2,0
15-01-2024,6,49,60,0
15-01-2024,6,29,41,3
15-01-2024,6,60,92,3
15-01-2024,6,61,77,1
15-01-2024,6,56,59,0
15-01-2024,6,29,60,3
15-01-2024,7,40,12,0
15-01-2024,7,67,114,3
15-01-2024,7,12,3,0
15-01-2024,7,41,50,0
15-01-2024,7,3,0,1
15-01-2024,7,52,96,3
15-01-2024,8,35,43,1
15-01-2024,8,24,46,1
15-01-2024,8,37,68,3
15-01-2024,8,32,59,4
15-01-2024,8,45,61,4
15-01-2024,8,33,39,0
15-01-2024,9,37,39,0
15-01-2024,9,32,83,3
15-01-2024,9,31,75,3
15-01-2024,9,81,138,0
15-01-2024,9,17,13,0
15-01-2024,9,50,49,1
15-01-2024,10,35,46,2
15-01-2024,10,48,51,0
15-01-2024,10,47,62,5
15-01-2024,10,1,2,0
15-01-2024,10,1,3,0
15-01-2024,10,13,6,5
15-01-2024,11,31,55,5
15-01-2024,11,33,15,0
15-01-2024,11,37,84,4
15-01-2024,11,40,74,6
15-01-2024,11,2,1,1
15-01-2024,11,84,111,10
15-01-2024,12,47,48,3
15-01-2024,12,55,58,0
15-01-2024,12,33,55,4
15-01-2024,12,60,43,9
15-01-2024,12,55,51,0
15-01-2024,12,27,38,1
15-01-2024,13,7,1,0
15-01-2024,13,23,59,4
15-01-2024,13,39,24,0
15-01-2024,13,4,1,0
15-01-2024,13,16,13,0
15-01-2024,13,18,57,1
15-01-2024,14,43,43,0
15-01-2024,14,45,61,0
15-01-2024,14,46,28,0
15-01-2024,14,15,10,0
15-01-2024,14,10,6,1
15-01-2024,14,21,5,0
15-01-2024,15,32,39,0
15-01-2024,15,46,11,0
15-01-2024,15,3,0,1
15-01-2024,15,53,49,2
15-01-2024,15,8,15,0
15-01-2024,15,48,61,1
15-01-2024,16,83,86,5
15-01-2024,16,79,127,4
15-01-2024,16,3,3,1
15-01-2024,16,67,111,0
15-01-2024,16,47,59,1
15-01-2024,16,47,71,1
15-01-2024,17,40,73,1
15-01-2024,17,21,72,0
15-01-2024,17,1,1,0
15-01-2024,17,1,2,1
15-01-2024,17,47,49,1
15-01-2024,17,46,86,3
15-01-2024,18,29,59,1
15-01-2024,18,35,78,5
15-01-2024,18,30,17,0
15-01-2024,18,41,55,9
15-01-2024,18,2,2,1
15-01-2024,18,46,61,7
15-01-2024,19,17,1,0
15-01-2024,19,46,75,7
15-01-2024,19,4,3,3
