Date,Hour,Cars,Two,HCVs
14-01-2024,0,0,0,3
14-01-2024,0,7,23,1
14-01-2024,0,59,60,4
14-01-2024,0,55,79,2
14-01-2024,0,20,64,2
14-01-2024,1,3,0,0
14-01-2024,1,41,69,4
14-01-2024,1,3,4,0
14-01-2024,1,46,67,3
14-01-2024,2,43,72,0
14-01-2024,2,40,17,0
14-01-2024,3,45,125,1
14-01-2024,4,47,21,1
14-01-2024,4,12,21,4
14-01-2024,5,5,6,0
14-01-2024,5,36,12,0
14-01-2024,6,36,59,0
14-01-2024,6,44,60,3
14-01-2024,6,58,88,3
14-01-2024,6,17,27,0
14-01-2024,6,36,54,6
14-01-2024,6,26,46,6
14-01-2024,7,34,42,0
14-01-2024,7,0,1,0
14-01-2024,7,33,38,0
14-01-2024,7,100,106,8
14-01-2024,7,49,82,1
14-01-2024,7,52,43,1
14-01-2024,8,65,53,1
14-01-2024,8,35,59,0
14-01-2024,8,7,6,6
14-01-2024,8,22,57,0
14-01-2024,8,20,15,0
14-01-2024,8,44,51,0
14-01-2024,9,6,0,1
14-01-2024,9,37,84,1
14-01-2024,9,16,3,0
14-01-2024,9,43,91,0
14-01-2024,9,36,39,5
14-01-2024,9,53,57,1
14-01-2024,10,4,0,0
14-01-2024,10,48,47,0
14-01-2024,10,4,4,1
14-01-2024,10,1,0,0
14-01-2024,10,23,1,0
14-01-2024,10,63,65,1
14-01-2024,11,48,55,0
14-01-2024,11,66,123,3
14-01-2024,11,0,0,102
14-01-2024,11,1,0,0
14-01-2024,11,39,77,10
14-01-2024,11,31,20,0
14-01-2024,12,34,26,4
14-01-2024,12,24,21,6
14-01-2024,12,12,14,2
14-01-2024,12,36,63,8
14-01-2024,12,52,85,0
14-01-2024,12,110,129,14
14-01-2024,13,51,61,10
14-01-2024,13,9,5,2
14-01-2024,13,3,5,0
14-01-2024,13,3,2,0
14-01-2024,13,25,11,0
14-01-2024,13,3,2,4
14-01-2024,14,30,19,5
14-01-2024,14,54,58,3
14-01-2024,14,59,71,10
14-01-2024,14,34,59,4
14-01-2024,14,27,78,3
14-01-2024,14,90,95,7
14-01-2024,15,13,15,3
14-01-2024,15,4,0,0
14-01-2024,15,2,4,4
14-01-2024,15,49,61,10
14-01-2024,15,3,0,0
14-01-2024,15,28,56,3
14-01-2024,16,57,56,2
14-01-2024,16,23,32,1
14-01-2024,16,13,0,0
14-01-2024,16,24,29,0
14-01-2024,16,53,55,1
14-01-2024,16,13,18,6
14-01-2024,17,34,64,8
14-01-2024,17,40,54,4
14-01-2024,17,2,3,0
14-01-2024,17,35,57,0
14-01-2024,17,8,9,0
14-01-2024,17,6,1,1
14-01-2024,18,32,20,0
14-01-2024,18,15,38,1
14-01-2024,18,48,66,1
14-01-2024,18,33,3,0
14-01-2024,18,13,18,0
14-01-2024,18,16,13,5
14-01-2024,19,39,71,2
14-01-2024,19,0,0,1
14-01-2024,19,7,3,2
14-01-2024,19,43,74,8
14-01-2024,19,45,60,1
14-01-2024,19,5,1,0
14-01-2024,20,94,62,6
14-01-2024,20,2,0,0
14-01-2024,20,85,98,0
14-01-2024,20,55,78,3
14-01-2024,20,47,10,0
14-01-2024,20,3,2,2
14-01-2024,21,59,61,2
14-01-2024,21,50,48,2
14-01-2024,21,49,51,0
14-01-2024,21,54,56,1
14-01-2024,21,36,12,0
14-01-2024,21,14,28,2
14-01-2024,22,23,53,3
14-01-2024,22,11,16,3
14-01-2024,22,61,59,5
14-01-2024,22,37,38,1
14-01-2024,22,21,54,3
14-01-2024,22,17,17,16
14-01-2024,23,46,67,3
14-01-2024,23,34,37,0
14-01-2024,23,3,0,0
14-01-2024,23,34,55,5
14-01-2024,23,44,58,5
14-01-2024,23,42,52,0
15-01-2024,0,63,121,3
15-01-2024,0,29,96,2
15-01-2024,0,36,96,4
15-01-2024,0,90,107,4
15-01-2024,0,5,5,0
