Date,Hour,Cars,Two_wheeler,HCVs
14-01-2024,0,39,16,0
14-01-2024,0,1,0,1
14-01-2024,0,34,56,0
14-01-2024,0,28,99,0
14-01-2024,0,43,87,4
14-01-2024,0,48,65,10
14-01-2024,1,33,15,0
14-01-2024,1,11,5,0
14-01-2024,1,91,132,2
14-01-2024,1,44,76,1
14-01-2024,1,77,126,8
14-01-2024,1,5,7,0
14-01-2024,2,33,32,3
14-01-2024,2,47,74,1
14-01-2024,2,48,41,0
14-01-2024,2,26,19,7
14-01-2024,2,39,45,0
14-01-2024,2,89,137,2
14-01-2024,3,44,76,6
14-01-2024,3,29,50,0
14-01-2024,3,39,69,4
14-01-2024,3,43,13,0
14-01-2024,3,45,88,1
14-01-2024,3,1,1,0
14-01-2024,4,3,1,2
14-01-2024,4,34,83,5
14-01-2024,4,6,0,2
14-01-2024,4,10,24,5
14-01-2024,4,0,0,1
14-01-2024,4,38,67,3
14-01-2024,5,50,101,4
14-01-2024,5,59,116,6
14-01-2024,5,62,96,12
14-01-2024,5,48,51,3
14-01-2024,5,42,77,3
14-01-2024,5,32,56,1
14-01-2024,6,11,0,0
14-01-2024,6,89,92,6
14-01-2024,6,43,53,0
14-01-2024,6,32,30,3
14-01-2024,6,8,10,3
14-01-2024,6,48,60,1
14-01-2024,7,34,5,0
14-01-2024,7,49,73,2
14-01-2024,7,6,1,0
14-01-2024,7,45,70,2
14-01-2024,7,46,45,0
14-01-2024,7,9,6,3
14-01-2024,8,21,14,5
14-01-2024,8,54,62,1
14-01-2024,8,97,98,2
14-01-2024,8,43,79,1
14-01-2024,8,39,41,5
14-01-2024,8,33,60,3
14-01-2024,9,11,12,0
14-01-2024,9,82,97,6
14-01-2024,9,16,34,0
14-01-2024,9,20,43,1
14-01-2024,9,52,52,7
14-01-2024,9,20,54,3
14-01-2024,10,4,3,0
14-01-2024,10,109,136,5
14-01-2024,10,1,0,0
14-01-2024,10,39,51,5
14-01-2024,10,50,46,0
14-01-2024,10,14,12,0
14-01-2024,11,2,2,0
14-01-2024,11,52,43,0
14-01-2024,11,35,80,0
14-01-2024,11,31,10,0
14-01-2024,11,0,3,1
14-01-2024,11,36,75,1
14-01-2024,12,30,75,6
14-01-2024,12,54,50,1
14-01-2024,12,4,3,0
14-01-2024,12,16,21,3
14-01-2024,12,7,11,1
14-01-2024,12,45,48,2
14-01-2024,13,40,18,0
14-01-2024,13,5,2,0
14-01-2024,13,23,55,1
14-01-2024,13,46,44,0
14-01-2024,13,36,35,2
14-01-2024,13,1,4,0
14-01-2024,14,56,122,4
14-01-2024,14,30,47,3
14-01-2024,14,82,98,7
14-01-2024,14,24,16,0
14-01-2024,14,80,134,3
14-01-2024,14,30,58,2
14-01-2024,15,47,60,0
14-01-2024,15,40,42,0
14-01-2024,15,64,56,2
14-01-2024,15,43,52,0
14-01-2024,15,14,34,2
14-01-2024,15,0,0,0
14-01-2024,16,23,34,3
14-01-2024,16,33,81,3
14-01-2024,16,38,48,1
14-01-2024,16,48,57,0
14-01-2024,16,38,77,1
14-01-2024,16,112,96,0
14-01-2024,17,53,68,5
14-01-2024,17,27,45,8
14-01-2024,17,41,44,3
14-01-2024,17,42,57,12
14-01-2024,17,47,49,1
14-01-2024,17,0,5,0
14-01-2024,18,35,41,0
14-01-2024,18,5,6,0
14-01-2024,18,54,50,0
14-01-2024,18,26,51,2
14-01-2024,18,0,1,0
14-01-2024,18,26,52,0
14-01-2024,19,12,3,0
14-01-2024,19,25,50,4
14-01-2024,19,73,89,6
14-01-2024,19,4,2,0
14-01-2024,19,94,77,0
14-01-2024,19,22,17,2
14-01-2024,20,33,36,1
